Id,Year of Study,Branch,Gender,"Extracurricular Involvement (Check all that apply). 
",How often do you experience academic stress?,What are the main sources of your academic stress? (Select all that apply),"On a scale of 1-5, how much does academic stress affect your ability to perform academically?",How would you rate your current mental well-being?,Do you believe that neglecting your personal well-being has impacted your academic performance?,"In the past semester, how often have you felt overwhelmed by academic pressures?",How often do you set goals and plan your academic workload?,How often do you successfully follow through with the goals you set?,Do you use any specific time management techniques? (Select all that apply),"On a scale of 1-5, how well do you think you manage your time?","Are you aware of the mental health or academic support services provided by the institution (e.g., counseling, tutoring)?","Have you used any institutional support services (e.g., counseling, tutoring)?","If yes, how effective were these services in helping you manage stress?","How much support do you receive from your social network (friends, family, peers) in managing academic stress?","On a scale of 1-5, how much do you believe social support helps in reducing your academic stress?", Do you believe participating in extracurricular activities helps reduce your academic stress?,"On a scale of 1-5, how much do extracurricular activities affect your academic performance?",What strategies or techniques do you personally use to manage academic stress?,"In your opinion, what could the institution do to better support students in managing academic stress and improving well-being?",Please share any additional thoughts or suggestions on how students can balance academics with personal well-being and extracurricular activities.,,,,,,
1,UG3,CLD,Man,,Always,Exams,Assignments,Project deadlines,Fear of failure,,5,Very Poor,Yes,Always,Often,Sometimes,Prioritizing tasks by deadlines,,3,Yes,No,,A lot,5,Yes,1,,Be better,,
2,UG3,ECE,Woman,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Volunteering Work;",Often,Assignments,Balancing extracurriculars with academics,Exams,,4,Poor,Yes,Always,Often,Sometimes,To-do lists,Prioritizing tasks by deadlines,,1,Yes,No,Not Applicable,A lot,5,No,5,"When i am very overwhelmed and on the verge of a breakdown, I leave everything if possible and go out to take a break and relax. I also go home once in 1 or 2 months to take a good break away from academics and with the ones I love. I have also tried to specifically make time from the last semester for outings on a regular basis to avoid drowning in the academic workload. ",Reduce the workload ??????,"Wake up a little before the classes to avoid rush in the morning. This sets the whole day�s tone on a wrong note. Try making time for what you like doing, be it watching series, playing an instrument, reading a book, or anything! And always ask yourself if any of this will matter to you after 5 years :)",
3,UG3,ECD,Man,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );",Often,Fear of failure,personal expectations,,3,Poor,Yes,Often,Sometimes,Sometimes,I do not use any specific techniques,,3,Yes,No,Not Applicable,A lot,3,Yes,3,sleep it off/alcohol,,,,,
4,UG3,CSE,Man,"Social Work ( NSS, CCC, Others ) ;Volunteering Work;",Sometimes,Exams,Assignments,Project deadlines,Fear of failure,Financial burdens,Social pressures (family/friends� expectations),Balancing extracurriculars with academics,,4,Poor,Yes,Often,Rarely,Never,"Scheduling apps (e.g., Google Calendar);To-do lists;",1,Yes,No,Not Applicable,Minimal,5,Maybe,1,,
5,UG3,CSD,Woman,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );",Often,Exams,Assignments,Project deadlines,Fear of failure,Balancing extracurriculars with academics,,4,Fair,Maybe,Often,Often,Sometimes,To-do lists,Prioritizing tasks by deadlines,,4,Yes,Yes,Neither effective nor ineffective,Moderate,4,Maybe,3,,
6,UG3,CSD,Man,"Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Volunteering Work;",Often,Assignments,Project deadlines,Exams,Fear of failure,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),,4,Poor,Yes,Often,Sometimes,Often,"To-do lists;Scheduling apps (e.g., Google Calendar);",3,Yes,Yes,Somewhat ineffective,Moderate,5,Maybe,3,Leave the thing that is causing stress.,"Remove attendance compulsion and have better professors (like MIT) who are not just knowledgeable in their domain but also a good teacher who can create interest in class and also devote time to doubts solving, TA system is very minimally helpful.","I don't know, I can't myself."
7,UG1,CSE,Man,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Exams,Fear of failure,2,Good,No,Sometimes,Sometimes,Rarely,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,Moderate,3,Yes,3,,,,,,,,
8,UG1,ECE,Man,Nothing this college has shitload of work,Always,Exams,5,Very Poor,Maybe,Always,Often,Often,To-do lists,4,Yes,Yes,Very ineffective,A lot,5,Yes,4,,,,,,,,,
9,UG1,CSE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Social Work ( NSS, CCC, Others ) ",Often,Project deadlines,Balancing extracurriculars with academics,Exams,Burnout due to high frequency of tests,4,Fair,Maybe,Sometimes,Often,Sometimes,"To-do lists;Prioritizing tasks by deadlines;Scheduling apps (e.g., Google Calendar)",3,Yes,No,Not Applicable,Moderate,4,Maybe,2,,"Less frequent testing; every lab, every tutorial quiz, etc need not be graded.",,,,
10,UG1,CSE,Woman,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Exams,Assignments,Project deadlines,Fear of failure,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),4,Fair,Yes,Sometimes,Sometimes,Never,Prioritizing tasks by deadlines,I do not use any specific techniques,1,Yes,No,Somewhat effective,A lot,2,Yes,2,,,
11,UG1,CSE,Man,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Exams,Assignments,Balancing extracurriculars with academics,3,Fair,Maybe,Sometimes,Often,Often,I do not use any specific techniques,3,Yes,No,Not Applicable,A lot,5,Yes,3,Study ,Give breaks after exams in terms of holidays and non class days. Also leniency in attendances for arts and sports.,,,,,
12,UG1,ECD,Man,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );E-Cell",Often,Assignments,Project deadlines,Exams,Balancing extracurriculars with academics,3,Good,Maybe,Often,Often,Rarely,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,A lot,5,Yes,2,Create a road map and take breaks to avoid burnout,Reduce frequency of assignments,,,,
13,UG2,ECD,Man,,Sometimes,Exams,Assignments,Fear of failure,4,Fair,Yes,Often,Sometimes,Sometimes,To-do lists,Prioritizing tasks by deadlines,2,Yes,No,Not Applicable,Moderate,4,Yes,4,,,,,,
